PlayerName,Oponent,Tournament,GroundNumerico,Prize,TournamentYear,NumeroSets,DiffIMC,DiffAge,DiffRank,QTDBelgas,Finals,SumMainHand,SumTrainer,TipoTorneio
Miomir Kecmanovic,Julien Cagnina,Belgium F1,1,15000,2017,3,0.8958165367732676,-5,-206.0,0,1,2,1,Melhor_de_3
Romain Bogaerts,James Junior Storme,Belgium F7,1,10000,2012,2,-1.2874154175709194,1,370.0,1,0,0,1,Melhor_de_3
Louis Cant,James Junior Storme,Belgium F15,1,15000,2014,2,0.0,4,303.0,2,0,1,0,Melhor_de_3
Olaf De Weerdt,James Junior Storme,Belgium F5,1,10000,2014,3,0.0,7,716.0,2,0,1,0,Melhor_de_3
Stieg Martens,James Junior Storme,Belgium F9,1,10000,2014,3,0.0,-2,898.0,2,0,0,0,Melhor_de_3
Julien Demois,James Junior Storme,Belgium F5,1,10000,2015,2,0.0,1,220.0,1,0,1,0,Melhor_de_3
Dimitar Grabul,James Junior Storme,Belgium F11,1,10000,2014,2,0.0,13,171.0,1,0,1,0,Melhor_de_3
Ashley Hewitt,James Junior Storme,Belgium F11,1,15000,2013,2,0.0,2,24.0,1,0,1,0,Melhor_de_3
Jack Carpenter,James Junior Storme,Belgium F2,1,10000,2012,2,0.0,2,-80.0,1,0,1,0,Melhor_de_3
Jonas Koenig,James Junior Storme,Belgium F3,1,10000,2012,2,0.0,5,-299.343487394958,1,0,1,0,Melhor_de_3
Antoine Tassart,James Junior Storme,Belgium F6,1,10000,2011,3,0.0,9,110.0,1,0,1,0,Melhor_de_3
Gavin Van Peperzeel,James Junior Storme,Belgium F1,1,10000,2013,2,-0.2594937279621945,2,-471.0,1,0,1,1,Melhor_de_3
Maxime Tabatruong,James Junior Storme,Belgium F8,1,10000,2011,2,-0.568135703270837,5,-362.0,1,0,1,0,Melhor_de_3
Maxime Tabatruong,James Junior Storme,Belgium F8,1,10000,2012,2,-0.568135703270837,5,-362.0,1,0,1,0,Melhor_de_3
Maxime Authom,James Junior Storme,Mons,2,141445,2013,2,0.24839443745590017,7,-490.0,2,0,1,0,Melhor_de_3
Blake Mott,James Junior Storme,Belgium F4,1,10000,2014,2,0.9750741732723718,-2,170.0,1,0,1,1,Melhor_de_3
Nils Langer,James Junior Storme,Belgium F1,1,10000,2014,3,-2.1186620410397836,4,-534.0,1,0,1,1,Melhor_de_3
Alexandre Penaud,James Junior Storme,Belgium F5,1,10000,2012,2,3.5062089116143156,7,-191.0,1,0,1,0,Melhor_de_3
Mauricio Astorga,James Junior Storme,Belgium F4,2,10000,2012,2,-0.9330800426953267,3,-36.0,1,0,0,1,Melhor_de_3
