PlayerName,Born,Height,Hand,LinkPlayer,Weight,Birt,Treinador,Rank
Wesley Koolhof,"Zevenaar, Netherlands",180.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/wesley-koolhof/kc41/player-activity?year=all&matchType=Singles,78.0,1989-04-17,"Rob Morgan, Mariusz Fyrstenberg",1T
Martin Pedersen,Denmark,185.0,Right-Handed,https://www.atptour.com/en/players/martin-pedersen/pb29/player-activity?year=all&matchType=Singles,78.0,1987-06-15,,267
Matteo Marfia,"Treviso, Italy",183.0,"Left-Handed, One-Handed Backhand",https://www.atptour.com/en/players/matteo-marfia/mf63/player-activity?year=all&matchType=Singles,80.0,1987-03-06,,696
Ashley Hewitt,Great Britain,185.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/ashley-hewitt/ha18/player-activity?year=all&matchType=Singles,78.0,1992-02-06,,746
Medy Chettar,France,185.0,Right-Handed,https://www.atptour.com/en/players/medy-chettar/ce99/player-activity?year=all&matchType=Singles,78.0,1992-03-08,,866
Mathieu Rodrigues,"Romorantin Lanthenay, France",180.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/mathieu-rodrigues/r851/player-activity?year=all&matchType=Singles,76.0,1985-11-07,Teddy Djabali,211
Moritz Baumann,"Bielefeld, Germany",188.0,"Left-Handed, Unknown Backhand",https://www.atptour.com/en/players/moritz-baumann/bg08/player-activity?year=all&matchType=Singles,83.0,1987-05-09,,344
Jack Carpenter,Great Britain,185.0,Right-Handed,https://www.atptour.com/en/players/jack-carpenter/cd30/player-activity?year=all&matchType=Singles,78.0,1992-04-11,,642
Matthias Wunner,Germany,185.0,Right-Handed,https://www.atptour.com/en/players/matthias-wunner/w655/player-activity?year=all&matchType=Singles,78.0,1993-03-10,,532
Gregoire Burquier,France,185.0,"Left-Handed, One-Handed Backhand",https://www.atptour.com/en/players/gregoire-burquier/bc36/player-activity?year=all&matchType=Singles,78.0,1984-07-08,,251
Yannick Thivant,Sucy En Brie,180.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/yannick-thivant/t929/player-activity?year=all&matchType=Singles,78.0,1987-01-22,,590
Evgeny Korolev,"Moscow, Russia",185.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/evgeny-korolev/k760/player-activity?year=all&matchType=Singles,82.0,1988-02-14,Evgeny Korolev,46
Michael Lammer,"Kilchberg, Switzerland",185.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/michael-lammer/l523/player-activity?year=all&matchType=Singles,80.0,1982-03-25,Dario Camenzind,150
Daniel Smethurst,"Oldham, Great Britain",188.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/daniel-smethurst/si57/player-activity?year=all&matchType=Singles,83.0,1990-10-13,Mark Taylor,234
Catalin-Ionut Gard,,185.0,"Right-Handed, One-Handed Backhand",https://www.atptour.com/en/players/catalin-ionut-gard/g493/player-activity?year=all&matchType=Singles,78.0,1981-07-10,,
Jakub Lustyk,Czech Republic,185.0,Right-Handed,https://www.atptour.com/en/players/jakub-lustyk/l932/player-activity?year=all&matchType=Singles,78.0,1988-09-23,,1055
Florian Reynet,France,185.0,Right-Handed,https://www.atptour.com/en/players/florian-reynet/r895/player-activity?year=all&matchType=Singles,78.0,1986-04-14,,414
Benjamin Ugarte,Chile,185.0,Right-Handed,https://www.atptour.com/en/players/benjamin-ugarte/u125/player-activity?year=all&matchType=Singles,78.0,1993-03-10,,1024
Oliver Golding,"Richmond, England",188.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/oliver-golding/gc38/player-activity?year=all&matchType=Singles,84.0,1993-09-29,,327
David Simunek,Czech Republic,185.0,Right-Handed,https://www.atptour.com/en/players/david-simunek/sq24/player-activity?year=all&matchType=Singles,78.0,1993-07-09,,1599
Thomas Giraudeau,"Arcachon, France",178.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/thomas-giraudeau/gc42/player-activity?year=all&matchType=Singles,70.0,1991-11-26,,962
Chris Guccione,"Melbourne, Australia",201.0,"Left-Handed, One-Handed Backhand",https://www.atptour.com/en/players/chris-guccione/g621/player-activity?year=all&matchType=Singles,92.0,1985-07-30,,67
Michael Bois,Saint Jean de Maurienne,188.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/michael-bois/bi85/player-activity?year=all&matchType=Singles,77.0,1993-11-19,Laurent Recouderc,582
Greg Ouellette,"Titusville, Florida",178.0,"Left-Handed, Unknown Backhand",https://www.atptour.com/en/players/greg-ouellette/o269/player-activity?year=all&matchType=Singles,72.0,1986-05-19,Ken Ouellette,269
Teri Groll,"Mulhouse, France",188.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/teri-groll/gc03/player-activity?year=all&matchType=Singles,75.0,1992-12-10,,819
Thomas Grinberg,"Paris, France",178.0,"Right-Handed, One-Handed Backhand",https://www.atptour.com/en/players/thomas-grinberg/ge75/player-activity?year=all&matchType=Singles,73.0,1994-06-27,"Jaques Olivier Moers, GrTgory Delente",876
Alberto Rojas-Maldonado,"Mexico City, Mexico",175.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/alberto-rojas-maldonado/r916/player-activity?year=all&matchType=Singles,70.0,1988-02-27,Bruno Rodriguez,842
Juan Matias Gonzalez Carrasco,Chile,185.0,Right-Handed,https://www.atptour.com/en/players/juan-matias-gonzalez-carrasco/gc98/player-activity?year=all&matchType=Singles,78.0,1994-02-18,,840
Pablo Galdon,Argentina,185.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/pablo-galdon/g817/player-activity?year=all&matchType=Singles,78.0,1985-11-28,,231
Maxime Forcin,France,185.0,Right-Handed,https://www.atptour.com/en/players/maxime-forcin/f806/player-activity?year=all&matchType=Singles,78.0,1989-06-26,,708
Artem Sitak,"Orenbourg, Russia",185.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/artem-sitak/sd23/player-activity?year=all&matchType=Singles,84.0,1986-02-08,Mason Fuller,163
Laurent Recouderc,Andorra,185.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/laurent-recouderc/r628/player-activity?year=all&matchType=Singles,78.0,1984-07-10,Jerome Potier - Photos Kallias,124
Juho Paukku,Finland,185.0,Left-Handed,https://www.atptour.com/en/players/juho-paukku/pa15/player-activity?year=all&matchType=Singles,78.0,1986-07-19,,379
Michal Pazicky,"Bratislava, Slovak Republic",185.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/michal-pazicky/pc53/player-activity?year=all&matchType=Singles,78.0,1987-12-13,,445
Olivier Rochus,"Namur, Belgium",168.0,"Right-Handed, One-Handed Backhand",https://www.atptour.com/en/players/olivier-rochus/r397/player-activity?year=all&matchType=Singles,65.0,1981-01-18,Reginald Willems,24
Jacob Adaktusson,"Stockholm, Sweden",193.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/jacob-adaktusson/a305/player-activity?year=all&matchType=Singles,87.0,1980-08-31,,216
Andrei Plotniy,Russia,185.0,Right-Handed,https://www.atptour.com/en/players/andrei-plotniy/pb97/player-activity?year=all&matchType=Singles,78.0,1988-04-07,,384
Guillermo Hormazabal,Chile,185.0,Right-Handed,https://www.atptour.com/en/players/guillermo-hormazabal/h563/player-activity?year=all&matchType=Singles,78.0,1985-02-19,,284
Bohdan Ulihrach,"Kolin, Czech Republic",188.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/bohdan-ulihrach/u032/player-activity?year=all&matchType=Singles,81.0,1975-02-23,,286
Jeroen Masson,Gent,185.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/jeroen-masson/m867/player-activity?year=all&matchType=Singles,78.0,1981-01-02,,265
Nicolas Coutelot,"Strasbourg, France",185.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/nicolas-coutelot/c476/player-activity?year=all&matchType=Singles,79.0,1977-02-09,Pierre-Jean Paules,306
Nicolas Todero,La Plata,183.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/nicolas-todero/t269/player-activity?year=all&matchType=Singles,81.0,1979-04-15,Jorge Todero,258
Sebastien Grosjean,"Marseille, France",175.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/sebastien-grosjean/g379/player-activity?year=all&matchType=Singles,73.0,1978-05-29,Bernard Fritz,4
Michel Koning,"Permerand, Holland",185.0,Right-Handed,https://www.atptour.com/en/players/michel-koning/k667/player-activity?year=all&matchType=Singles,80.0,1984-05-01,Eddy Bank,229
Martin Verkerk,"Leiderdorp, The Netherlands",196.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/martin-verkerk/v232/player-activity?year=all&matchType=Singles,90.0,1978-10-31,,14
Mariano Puerta,"San Francisco (Cordoba), ARG",180.0,"Left-Handed, One-Handed Backhand",https://www.atptour.com/en/players/mariano-puerta/p372/player-activity?year=all&matchType=Singles,78.0,1978-09-19,Guillermo Perez-Roldan,9
Jonas Bjorkman,"Vaxjo, Sweden",183.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/jonas-bjorkman/b446/player-activity?year=all&matchType=Singles,83.0,1972-03-23,,7
Thomas Johansson,"Linkoping, Sweden",180.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/thomas-johansson/j129/player-activity?year=all&matchType=Singles,80.0,1975-03-24,,7
Rabie Chaki,Morocco,185.0,Right-Handed,https://www.atptour.com/en/players/rabie-chaki/c663/player-activity?year=all&matchType=Singles,78.0,1982-04-14,,333
Photos Kallias,,185.0,Right-Handed,https://www.atptour.com/en/players/photos-kallias/k528/player-activity?year=all&matchType=Singles,78.0,1984-03-06,,
Raphael Durek,"Belo Horizonte, Brazil",188.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/raphael-durek/d526/player-activity?year=all&matchType=Singles,79.0,1984-02-02,,150
Jan Vacek,"Prague, Czech Republic",198.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/jan-vacek/v220/player-activity?year=all&matchType=Singles,92.0,1976-05-10,Jiri Hrebec,115
Darko Madjarovski,Serbia,185.0,Right-Handed,https://www.atptour.com/en/players/darko-madjarovski/mb07/player-activity?year=all&matchType=Singles,78.0,1983-06-17,,334
Julien Jeanpierre,"Reniremont, France",188.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/julien-jeanpierre/j164/player-activity?year=all&matchType=Singles,77.0,1980-03-10,Alain Solves,171
Jonathan Marray,"Liverpool, England",183.0,"Right-Handed, One-Handed Backhand",https://www.atptour.com/en/players/jonathan-marray/m983/player-activity?year=all&matchType=Singles,76.0,1981-03-10,"Louis Cayer, David Marray",216
Tomas Zib,"Pisek, Czech Republic",178.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/tomas-zib/z074/player-activity?year=all&matchType=Singles,76.0,1976-01-31,,51
Sergio Roitman,"Buenos Aires, Argentina",185.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/sergio-roitman/r388/player-activity?year=all&matchType=Singles,79.0,1979-05-16,Alejandro Lombardo,62
Fabrice Santoro,Tahiti,178.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/fabrice-santoro/s424/player-activity?year=all&matchType=Singles,74.0,1972-12-09,Laurent Raymond,17
Michael Kohlmann,"Hagen, Germany",188.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/michael-kohlmann/k257/player-activity?year=all&matchType=Singles,84.0,1974-01-11,Klaus Langenbach,102
Matthew Illingworth,Great Britain,185.0,Right-Handed,https://www.atptour.com/en/players/matthew-illingworth/i232/player-activity?year=all&matchType=Singles,78.0,1987-06-23,,1008
Alec Witmeur,Belgium,185.0,Right-Handed,https://www.atptour.com/en/players/alec-witmeur/w606/player-activity?year=all&matchType=Singles,78.0,1989-07-30,,1039
Brian Battistone,"Santa Barbara, CA, USA",191.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/brian-battistone/b765/player-activity?year=all&matchType=Singles,82.0,1979-08-10,"Mark Battistone, Lionel Burt",853.0
Malte Stropp,Germany,185.0,Left-Handed,https://www.atptour.com/en/players/malte-stropp/sm04/player-activity?year=all&matchType=Singles,78.0,1991-01-29,,1060
Paterne Mamata,France,185.0,Right-Handed,https://www.atptour.com/en/players/paterne-mamata/me32/player-activity?year=all&matchType=Singles,78.0,1986-07-16,,828
Daniele Bracciali,"Arezzo, Italy",178.0,"Right-Handed, One-Handed Backhand",https://www.atptour.com/en/players/daniele-bracciali/b570/player-activity?year=all&matchType=Singles,82.0,1978-01-10,Umberto Rianna,48
Bart Brons,"Bleiswijk, The Netherlands",180.0,"Left-Handed, Unknown Backhand",https://www.atptour.com/en/players/bart-brons/bg07/player-activity?year=all&matchType=Singles,68.0,1990-04-05,,831
Dick Norman,"Waregem, Belgium",203.0,"Left-Handed, Unknown Backhand",https://www.atptour.com/en/players/dick-norman/n233/player-activity?year=all&matchType=Singles,95.0,1971-03-01,Jan Dewitt,85
Roy Bruggeling,Netherlands,185.0,Right-Handed,https://www.atptour.com/en/players/roy-bruggeling/bf96/player-activity?year=all&matchType=Singles,78.0,1989-08-01,,403
Jean-Rene Lisnard,"Cannes, France",173.0,"Right-Handed, One-Handed Backhand",https://www.atptour.com/en/players/jean-rene-lisnard/l386/player-activity?year=all&matchType=Singles,68.0,1979-09-25,,84
Charles Roche,France,185.0,Right-Handed,https://www.atptour.com/en/players/charles-roche/r546/player-activity?year=all&matchType=Singles,78.0,1983-10-08,,607
Trystan Meniane,France,185.0,Right-Handed,https://www.atptour.com/en/players/trystan-meniane/mc22/player-activity?year=all&matchType=Singles,78.0,1981-03-16,,617
Frank Wintermantel,Germany,185.0,Right-Handed,https://www.atptour.com/en/players/frank-wintermantel/w480/player-activity?year=all&matchType=Singles,78.0,1988-08-20,,691
Pierre Metenier,France,185.0,Right-Handed,https://www.atptour.com/en/players/pierre-metenier/me86/player-activity?year=all&matchType=Singles,78.0,1983-10-15,,978
Rodolphe Gilbert,"Brou-sur-Chanteneine, France",183.0,"Left-Handed, Unknown Backhand",https://www.atptour.com/en/players/rodolphe-gilbert/g108/player-activity?year=all&matchType=Singles,73.0,1968-12-12,Thierry Tulasne,264
